file,district_id,district_code,date,partner,intervention_id,primary_risk,secondary_risk,severity,trend_cue_included
field_note_001.txt,D114,D-114,2024-11-03,SunBuild Initiative,I08,financing_disbursement,,4,False
field_note_002.txt,D013,D-013,2024-07-28,InfraTrust Consortium,I02,partner_capacity,,3,False
field_note_003.txt,D009,D-009,2024-08-11,SunBuild Initiative,I09,extreme_event_disruption,,5,False
field_note_004.txt,D079,D-079,2024-04-21,Delta Engineering,I08,permitting_regulatory,,4,False
field_note_005.txt,D095,D-095,2023-06-11,RapidRelief Local,I04,community_buy_in,,3,False
field_note_006.txt,D109,D-109,2024-11-24,CommunityFirst,I03,extreme_event_disruption,,2,True
field_note_007.txt,D022,D-022,2023-10-15,CivicResilience NGO,I10,partner_capacity,supply_chain,2,False
field_note_008.txt,D012,D-012,2024-12-08,RapidRelief Local,I02,community_buy_in,,3,False
field_note_009.txt,D003,D-003,2023-01-01,RapidRelief Local,I07,governance_fraud,,4,False
field_note_010.txt,D051,D-051,2024-04-28,SunBuild Initiative,I13,extreme_event_disruption,,3,False
field_note_011.txt,D052,D-052,2023-05-21,RapidRelief Local,I04,community_buy_in,,3,True
field_note_012.txt,D091,D-091,2024-07-07,RapidRelief Local,I16,m_e_data_gaps,,2,False
field_note_013.txt,D092,D-092,2023-09-17,CivicResilience NGO,I08,procurement_delay,financing_disbursement,4,True
field_note_014.txt,D084,D-084,2023-03-26,BlueRiver Implementers,I17,governance_fraud,community_buy_in,3,False
field_note_015.txt,D048,D-048,2024-11-10,Delta Engineering,I08,community_buy_in,permitting_regulatory,2,True
field_note_016.txt,D043,D-043,2023-09-03,Delta Engineering,I17,governance_fraud,,4,True
field_note_017.txt,D017,D-017,2023-05-21,InfraTrust Consortium,I15,community_buy_in,,1,True
field_note_018.txt,D070,D-070,2023-01-08,Delta Engineering,I03,permitting_regulatory,,5,False
field_note_019.txt,D039,D-039,2023-02-19,Delta Engineering,I07,community_buy_in,,4,False
field_note_020.txt,D040,D-040,2023-10-01,GreenWorks Alliance,I07,contractor_quality,community_buy_in,2,False
field_note_021.txt,D034,D-034,2024-05-26,GreenWorks Alliance,I17,governance_fraud,,3,True
field_note_022.txt,D062,D-062,2024-06-23,SunBuild Initiative,I15,financing_disbursement,,2,False
field_note_023.txt,D009,D-009,2024-06-23,RapidRelief Local,I05,contractor_quality,,4,False
field_note_024.txt,D055,D-055,2023-04-16,GreenWorks Alliance,I11,m_e_data_gaps,,2,False
field_note_025.txt,D028,D-028,2023-09-17,InfraTrust Consortium,I06,supply_chain,financing_disbursement,3,False
field_note_026.txt,D016,D-016,2024-01-21,InfraTrust Consortium,I18,supply_chain,partner_capacity,5,False
field_note_027.txt,D090,D-090,2024-11-17,RapidRelief Local,I02,community_buy_in,,2,True
field_note_028.txt,D041,D-041,2023-10-08,HeatSafe Partners,I11,procurement_delay,,5,True
field_note_029.txt,D056,D-056,2024-05-12,Delta Engineering,I05,procurement_delay,,2,False
field_note_030.txt,D039,D-039,2023-04-16,BlueRiver Implementers,I13,community_buy_in,contractor_quality,4,True
field_note_031.txt,D089,D-089,2023-11-12,Delta Engineering,I18,financing_disbursement,,3,False
field_note_032.txt,D106,D-106,2024-06-02,HeatSafe Partners,I01,contractor_quality,,4,False
field_note_033.txt,D060,D-060,2023-12-10,HydroBuild Co,I15,community_buy_in,,4,True
field_note_034.txt,D090,D-090,2023-06-11,Delta Engineering,I15,community_buy_in,,2,True
field_note_035.txt,D112,D-112,2024-09-29,InfraTrust Consortium,I16,supply_chain,,2,True
field_note_036.txt,D030,D-030,2024-12-01,HydroBuild Co,I14,contractor_quality,procurement_delay,3,True
field_note_037.txt,D066,D-066,2024-03-03,InfraTrust Consortium,I18,community_buy_in,extreme_event_disruption,2,True
field_note_038.txt,D030,D-030,2024-07-14,InfraTrust Consortium,I12,financing_disbursement,,1,False
field_note_039.txt,D022,D-022,2024-03-31,HydroBuild Co,I15,extreme_event_disruption,,1,False
field_note_040.txt,D105,D-105,2024-08-11,Delta Engineering,I12,contractor_quality,procurement_delay,2,False
field_note_041.txt,D049,D-049,2023-07-16,InfraTrust Consortium,I02,m_e_data_gaps,,2,False
