district_code,month,flood_index,heat_index,rainfall_anomaly_z,temp_anomaly_z,ndvi,flood_events_count,heatwave_days
D-001,2021-01,56.72,58.65,-0.224,1.28,0.491,2,1
D-001,2021-02,67.21,67.84,-0.764,1.086,0.416,0,4
D-001,2021-03,70.72,71.69,1.278,1.343,0.353,0,4
D-001,2021-04,75.0,76.95,1.503,0.643,0.376,1,3
D-001,2021-05,66.97,77.19,0.401,1.709,0.355,1,3
D-001,2021-06,51.68,78.91,1.0,1.796,0.401,2,2
D-001,2021-07,39.44,79.28,-0.665,1.297,0.386,3,1
D-001,2021-08,32.0,63.49,0.377,-0.178,0.423,1,7
D-001,2021-09,22.13,58.55,-0.955,0.293,0.435,0,4
D-001,2021-10,29.32,53.4,-0.566,0.351,0.523,0,3
D-001,2021-11,34.56,38.91,0.393,0.537,0.513,1,4
D-001,2021-12,50.52,35.34,1.076,-0.396,0.512,0,0
D-001,2022-01,60.8,47.11,0.648,-0.997,0.503,1,3
D-001,2022-02,69.73,53.75,1.345,-0.34,0.503,3,5
D-001,2022-03,68.52,56.58,0.552,1.673,0.479,0,4
D-001,2022-04,70.59,79.13,0.761,1.324,0.346,1,2
D-001,2022-05,63.35,83.97,1.86,2.619,0.415,1,5
D-001,2022-06,55.15,82.92,0.471,1.975,0.401,4,4
D-001,2022-07,44.57,83.59,-1.123,3.0,0.395,1,4
D-001,2022-08,29.3,71.33,0.653,0.847,0.445,3,4
D-001,2022-09,26.57,65.21,-1.813,0.007,0.446,0,5
D-001,2022-10,35.09,59.2,-0.517,0.347,0.492,0,7
D-001,2022-11,43.78,52.15,-0.845,0.32,0.501,1,1
D-001,2022-12,54.56,52.66,1.31,-0.261,0.512,1,3
D-001,2023-01,68.67,56.78,-0.033,0.773,0.446,3,6
D-001,2023-02,69.68,66.94,0.982,0.443,0.39,2,6
D-001,2023-03,73.95,70.66,1.277,0.468,0.416,2,6
D-001,2023-04,68.04,79.85,1.927,1.493,0.362,3,4
D-001,2023-05,57.29,93.41,0.578,2.321,0.378,4,5
D-001,2023-06,40.43,100.0,0.327,2.543,0.314,0,6
D-001,2023-07,30.49,100.0,0.055,2.254,0.298,1,5
D-001,2023-08,23.3,85.77,-0.477,2.287,0.397,0,6
D-001,2023-09,18.38,75.88,-1.609,1.172,0.433,2,5
D-001,2023-10,20.76,65.57,-0.854,0.12,0.4,1,5
D-001,2023-11,28.75,55.61,-0.452,0.917,0.49,2,1
D-001,2023-12,48.29,60.94,-0.072,0.369,0.447,1,4
D-001,2024-01,54.08,60.51,1.632,0.682,0.517,1,6
D-001,2024-02,70.32,70.5,1.161,0.816,0.413,2,5
D-001,2024-03,81.81,81.34,0.517,1.386,0.36,1,5
D-001,2024-04,70.73,83.27,1.726,1.926,0.339,2,2
D-001,2024-05,61.72,97.69,1.649,1.639,0.292,3,9
D-001,2024-06,57.04,100.0,0.362,1.124,0.249,3,7
D-001,2024-07,42.08,100.0,0.786,3.0,0.342,0,8
D-001,2024-08,40.31,90.68,-1.337,1.517,0.394,4,3
D-001,2024-09,28.97,77.7,-0.315,0.77,0.41,0,9
D-001,2024-10,33.87,74.98,0.256,1.292,0.441,1,3
D-001,2024-11,36.36,61.39,1.196,-0.174,0.444,0,3
D-001,2024-12,50.77,58.32,-0.011,0.865,0.467,3,4
D-002,2021-01,65.23,29.69,0.641,-0.51,0.537,1,2
D-002,2021-02,76.71,38.51,2.557,0.502,0.485,4,2
D-002,2021-03,74.54,47.29,1.1,-0.509,0.478,2,2
D-002,2021-04,78.25,56.24,1.597,0.202,0.505,3,6
D-002,2021-05,75.1,62.71,1.905,0.325,0.455,3,5
D-002,2021-06,58.21,61.89,0.255,1.367,0.408,5,6
D-002,2021-07,47.34,60.76,-0.228,-0.053,0.444,1,3
D-002,2021-08,42.97,52.85,-0.312,0.64,0.459,0,3
D-002,2021-09,40.66,44.58,-1.005,-0.726,0.529,1,1
D-002,2021-10,36.1,37.15,0.094,-0.896,0.504,2,2
D-002,2021-11,39.01,19.39,-0.803,-0.107,0.603,1,2
D-002,2021-12,52.42,21.15,0.324,-0.57,0.631,4,1
D-002,2022-01,65.54,29.62,1.287,-0.431,0.499,2,3
D-002,2022-02,69.89,39.96,1.435,-0.528,0.503,0,3
D-002,2022-03,72.28,44.4,1.822,-1.077,0.46,1,1
D-002,2022-04,72.48,62.41,1.557,1.099,0.46,1,3
D-002,2022-05,69.21,80.59,0.777,0.49,0.435,1,4
D-002,2022-06,58.85,82.44,-0.32,2.049,0.393,4,4
D-002,2022-07,54.46,76.85,0.683,1.942,0.449,0,4
D-002,2022-08,39.32,75.53,0.385,-0.046,0.406,2,2
D-002,2022-09,31.69,58.76,0.344,-0.189,0.428,0,10
D-002,2022-10,34.08,35.44,-0.83,0.042,0.595,0,3
D-002,2022-11,44.74,37.58,-0.201,-1.86,0.509,2,2
D-002,2022-12,60.97,24.5,0.661,-0.638,0.61,4,3
D-002,2023-01,68.51,30.62,2.262,-1.156,0.539,2,3
D-002,2023-02,70.42,28.05,0.665,0.161,0.557,1,0
D-002,2023-03,77.81,41.54,2.13,0.23,0.475,4,0
