project_id,district_code,intervention_id,partner,start_date,planned_end_date,actual_end_date,cost_usd,baseline_risk_score,total_delay_days,achieved_outcome_score,realized_risk_reduction,delivered_on_time,achieved_min_outcome,community_engagement_score,post_project_audit_score,post_project_satisfaction_score
P00001,D-059,I13,Delta Engineering,2023-01-12,2024-09-03,2024-11-02,984200,61.81,60,76.92,0.326,0,1,52.12,71.23,71.25
P00002,D-030,I11,HydroBuild Co,2023-03-12,2024-05-05,2024-08-14,849300,67.1,101,59.22,0.146,0,0,37.86,57.78,52.29
P00003,D-013,I10,CivicResilience NGO,2023-01-15,2024-02-09,2024-02-18,383200,55.16,9,64.78,0.218,1,1,52.79,70.12,55.28
P00004,D-058,I06,HydroBuild Co,2023-07-20,2025-02-09,2025-03-21,518500,70.79,40,64.72,0.477,1,1,50.41,67.48,55.11
P00005,D-020,I18,RapidRelief Local,2023-07-13,2025-03-04,2025-06-05,864600,58.1,93,66.58,0.266,0,1,44.03,67.09,52.95
P00006,D-099,I13,SunBuild Initiative,2022-04-09,2023-11-30,2024-03-16,2003400,72.38,107,63.24,0.215,0,1,28.64,62.62,43.16
P00007,D-028,I09,HydroBuild Co,2023-08-05,2025-05-26,2025-09-26,605700,60.65,123,60.85,0.309,0,1,54.75,64.78,50.36
P00008,D-004,I09,InfraTrust Consortium,2021-12-30,2023-10-21,2024-02-14,837100,49.33,116,81.44,0.475,0,1,71.02,78.67,69.35
P00009,D-033,I05,InfraTrust Consortium,2021-10-04,2023-07-26,2023-10-13,961700,82.47,79,82.71,0.428,0,1,71.13,86.45,75.15
P00010,D-102,I15,BlueRiver Implementers,2021-02-14,2022-04-10,2022-07-05,1359700,95.41,86,55.06,0.206,0,0,70.42,56.05,67.65
P00011,D-023,I13,HeatSafe Partners,2023-12-10,2025-08-01,2025-10-22,1670900,71.11,82,77.95,0.299,0,1,71.92,82.8,79.49
P00012,D-016,I16,HydroBuild Co,2021-03-15,2022-09-06,2023-02-20,619800,56.86,167,67.2,0.256,0,1,67.46,69.71,63.15
P00013,D-110,I16,HeatSafe Partners,2022-12-31,2024-06-23,2024-09-15,1056400,57.14,84,67.74,0.296,0,1,68.25,66.56,60.03
P00014,D-005,I06,HeatSafe Partners,2023-06-03,2024-12-24,2025-03-16,732700,47.47,82,68.22,0.5,0,1,74.94,73.76,63.89
P00015,D-038,I06,RapidRelief Local,2022-09-20,2024-04-12,2024-05-22,1024000,69.97,40,60.66,0.443,1,1,46.59,66.82,62.55
P00016,D-080,I03,RapidRelief Local,2024-01-29,2025-11-19,2026-02-18,441600,98.43,91,61.94,0.436,0,1,43.42,69.25,48.72
P00017,D-077,I04,GreenWorks Alliance,2021-09-30,2023-07-22,2023-11-01,701200,62.75,102,60.06,0.159,0,1,58.17,59.17,56.55
P00018,D-059,I07,Delta Engineering,2021-02-05,2022-05-31,2022-08-23,1026000,53.93,84,63.19,0.24,0,1,52.9,56.05,53.35
P00019,D-090,I02,GreenWorks Alliance,2023-08-31,2024-10-24,2024-12-03,2469600,73.62,40,58.39,0.137,1,0,57.6,62.7,54.68
P00020,D-097,I14,GreenWorks Alliance,2022-08-08,2024-04-29,2024-08-12,1350800,61.69,105,54.1,0.151,0,0,40.61,57.28,52.34
P00021,D-055,I04,HeatSafe Partners,2021-03-07,2022-12-27,2023-04-12,676500,57.09,106,72.59,0.222,0,1,50.04,69.26,63.84
P00022,D-099,I13,RapidRelief Local,2022-12-09,2024-07-31,2024-09-29,1252400,85.1,60,58.27,0.069,0,0,26.3,59.46,49.58
P00023,D-095,I17,InfraTrust Consortium,2021-02-28,2022-07-23,2022-11-17,2438100,88.89,117,61.51,0.322,0,1,80.92,60.14,61.85
P00024,D-105,I05,HydroBuild Co,2022-05-24,2024-03-14,2024-06-04,863600,61.12,82,56.84,0.138,0,0,44.95,57.02,57.96
P00025,D-005,I17,HydroBuild Co,2022-02-02,2023-06-27,2023-09-19,1199500,60.93,84,55.48,0.094,0,0,56.84,60.51,53.24
P00026,D-042,I03,SunBuild Initiative,2021-09-23,2023-07-15,2023-10-04,859100,87.22,81,31.35,0.13,0,0,45.64,36.33,37.26
P00027,D-024,I12,BlueRiver Implementers,2021-04-09,2022-08-02,2022-09-10,1059600,77.17,39,71.49,0.379,1,1,71.24,70.69,73.3
P00028,D-057,I16,GreenWorks Alliance,2022-02-17,2023-08-11,2024-01-25,936300,74.63,167,53.88,0.072,0,0,55.96,66.94,51.73
P00029,D-086,I02,CivicResilience NGO,2022-11-10,2024-01-04,2024-03-05,856100,65.37,61,66.2,0.281,0,1,48.38,67.88,55.33
P00030,D-053,I16,Delta Engineering,2021-05-25,2022-11-16,2023-03-01,605100,55.08,105,60.09,0.2,0,1,40.07,54.5,53.31
P00031,d097,I07,CivicResilience NGO,2022-07-14,2023-11-06,2024-02-16,1463800,61.4,102,60.12,0.216,0,1,43.74,62.74,57.81
P00032,D-084,I09,Delta Engineering,2022-10-29,2024-08-19,2024-12-27,1103700,57.65,130,65.09,0.335,0,1,62.53,60.73,69.9
P00033,D-110,I08,CommunityFirst,2023-06-02,2024-12-23,2025-04-06,400900,64.34,104,92.01,0.448,0,1,70.83,95.99,88.56
