district_code,district_name,region,country,intervention_id,intervention_name,hazard_focus,cost,risk_reduction,impl_months,delivery_prob,predicted_on_time
D-001,District 001,West,Azuria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.04224295745278612,0
D-001,District 001,West,Azuria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.19520467569158292,0
D-001,District 001,West,Azuria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.004442706811155864,0
D-001,District 001,West,Azuria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.006153017591029153,0
D-001,District 001,West,Azuria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.004117777548495802,0
D-001,District 001,West,Azuria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.01892670223708359,0
D-001,District 001,West,Azuria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.029318060714514635,0
D-001,District 001,West,Azuria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.004029988786121964,0
D-001,District 001,West,Azuria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0007036069088645919,0
D-001,District 001,West,Azuria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.6188164165675873,1
D-001,District 001,West,Azuria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.03835387606760069,0
D-001,District 001,West,Azuria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.1924861036405118,0
D-001,District 001,West,Azuria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.006392756840861028,0
D-001,District 001,West,Azuria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.00531775642775702,0
D-001,District 001,West,Azuria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.028529855815346294,0
D-001,District 001,West,Azuria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.006132303367639577,0
D-001,District 001,West,Azuria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.03301613462195287,0
D-001,District 001,West,Azuria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.004689236341437243,0
D-002,District 002,Central,Belvaria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.1055116151907378,0
D-002,District 002,Central,Belvaria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.3934546340049515,0
D-002,District 002,Central,Belvaria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.011793848712865446,0
D-002,District 002,Central,Belvaria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.016287831988721545,0
D-002,District 002,Central,Belvaria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.010937180563346194,0
D-002,District 002,Central,Belvaria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.04906275764174485,0
D-002,District 002,Central,Belvaria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.07473929762059486,0
D-002,District 002,Central,Belvaria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.010705568737830405,0
D-002,District 002,Central,Belvaria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0018795130666815437,0
D-002,District 002,Central,Belvaria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.8127917286465313,1
D-002,District 002,Central,Belvaria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.09638390888640325,0
D-002,District 002,Central,Belvaria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.389310673369553,0
D-002,District 002,Central,Belvaria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.016915731671836482,0
D-002,District 002,Central,Belvaria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.01409630136621816,0
D-002,District 002,Central,Belvaria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.07282157070655232,0
D-002,District 002,Central,Belvaria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.016233556066758244,0
D-002,District 002,Central,Belvaria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.0836727786470261,0
D-002,District 002,Central,Belvaria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.012443200783566625,0
D-003,District 003,South,Belvaria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.08227301333079144,0
D-003,District 003,South,Belvaria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.3302090574003723,0
D-003,District 003,South,Belvaria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.00898886523213816,0
D-003,District 003,South,Belvaria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.012427465781641311,0
