district_code,district_name,region,country,poverty_index,is_top_poverty,vulnerability,intervention_id,intervention_name,hazard_focus,allocation,risk_reduction,feasibility,impl_months,objective
D-056,District 056,North,Belvaria,0.64,1,0.6082103717562706,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.856373692334388,13,0.18017961642866742
D-042,District 042,East,Azuria,0.685,1,0.6176872909742885,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.798152028146723,13,0.1705464980294722
D-103,District 103,West,Belvaria,0.664,1,0.7986413052095065,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.5834816800678398,13,0.16120091829561228
D-006,District 006,North,Belvaria,0.659,1,0.6291533107511773,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6845403003970193,13,0.14898550803531813
D-105,District 105,East,Belvaria,0.657,1,0.5133716705824141,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.831652874936317,13,0.14769388390795413
D-009,District 009,East,Belvaria,0.659,1,0.486285715765109,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.723518709371338,13,0.12171099070137961
D-100,District 100,North,Belvaria,0.854,1,0.46288874459586854,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7495191296964486,13,0.12001840787935313
D-064,District 064,Central,Azuria,0.759,1,0.4521733460131653,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7561192992628473,13,0.11827250648373422
D-080,District 080,South,Azuria,0.744,1,0.5527833296997338,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.5818760631071702,13,0.11126893932789977
D-023,District 023,North,Belvaria,0.713,1,0.47903150847963394,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6443900245237855,13,0.1067828253899012
D-079,District 079,South,Azuria,0.639,1,0.40889665928597363,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7427520893340877,13,0.10506207242081358
D-001,District 001,West,Azuria,0.712,1,0.4747306635935087,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6188164165675873,13,0.1016243146554734
D-096,District 096,South,Belvaria,0.9,1,0.38437163498228244,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7563299863737583,13,0.1005659983150711
D-058,District 058,North,Azuria,0.732,1,0.3574414639835055,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.80109057872123,13,0.09905469685970845
D-047,District 047,Central,Belvaria,0.9,1,0.3561239321811879,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7937447843859817,13,0.09778462249388822
D-036,District 036,North,Cordania,0.788,1,0.4580659485262353,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6160427564547672,13,0.09761743296108188
D-102,District 102,East,Azuria,0.686,1,0.4026822268314887,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6892477850889757,13,0.0960121863943538
D-066,District 066,West,Cordania,0.702,1,0.4100976551433761,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.670313385872611,13,0.09509412727660292
D-083,District 083,North,Belvaria,0.647,1,0.3845382209604872,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6691323089534684,13,0.08901025224705182
D-104,District 104,East,Azuria,0.674,1,0.3037862848157109,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8277041313596177,13,0.08698248370956413
D-010,District 010,East,Azuria,0.683,1,0.29890552557874744,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8169088725132067,13,0.08446875154282482
D-045,District 045,South,Azuria,0.641,1,0.32891976372762033,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7252893775645217,13,0.08252581184191385
D-054,District 054,Central,Belvaria,0.67,1,0.31181522578738863,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.751422841039047,13,0.08105321179653079
D-035,District 035,West,Azuria,0.711,1,0.2238839409652889,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8246714369938416,13,0.06386933798420645
